-- Testing: 210 tests, 12 workers --
  LLVM :: tools/llvm-objcopy/ELF/binary-input-error.test
  LLVM :: tools/llvm-objcopy/ELF/binary-input.test
  LLVM :: tools/llvm-objcopy/ELF/binary-no-paddr.test
  LLVM :: tools/llvm-objcopy/ELF/binary-out-error.test
  LLVM :: tools/llvm-objcopy/ELF/binary-output-empty.test
  LLVM :: tools/llvm-objcopy/ELF/binary-output-target.test
  LLVM :: tools/llvm-objcopy/ELF/binary-paddr.test
  LLVM :: tools/llvm-objcopy/ELF/binary-remove-all-but-one.test
  LLVM :: tools/llvm-objcopy/ELF/binary-remove-end.test
  LLVM :: tools/llvm-objcopy/ELF/binary-remove-middle.test
  LLVM :: tools/llvm-objcopy/ELF/binary-segment-layout.test
  LLVM :: tools/llvm-objcopy/ELF/build-id-link-dir.test
  LLVM :: tools/llvm-objcopy/ELF/change-entry-point.test
  LLVM :: tools/llvm-objcopy/ELF/check-addr-offset-align-binary.test
  LLVM :: tools/llvm-objcopy/ELF/check-addr-offset-align.test
  LLVM :: tools/llvm-objcopy/ELF/compress-and-decompress-debug-sections-error.test
  LLVM :: tools/llvm-objcopy/ELF/compress-debug-sections-default-gnu.test
  LLVM :: tools/llvm-objcopy/ELF/compress-debug-sections-default.test
  LLVM :: tools/llvm-objcopy/ELF/compress-debug-sections-groups.test
  LLVM :: tools/llvm-objcopy/ELF/compress-debug-sections-invalid-format.test
  LLVM :: tools/llvm-objcopy/ELF/compress-debug-sections-symbols.test
  LLVM :: tools/llvm-objcopy/ELF/compress-debug-sections-zlib-gnu.test
  LLVM :: tools/llvm-objcopy/ELF/compress-debug-sections-zlib-header.test
  LLVM :: tools/llvm-objcopy/ELF/compress-debug-sections-zlib.test
  LLVM :: tools/llvm-objcopy/ELF/compress-debug-sections.test
  LLVM :: tools/llvm-objcopy/ELF/copy-after-strip-sections.test
  LLVM :: tools/llvm-objcopy/ELF/copy-osabi.test
  LLVM :: tools/llvm-objcopy/ELF/cross-arch-headers.test
  LLVM :: tools/llvm-objcopy/ELF/cross-arch-sections-symbols.test
  LLVM :: tools/llvm-objcopy/ELF/deterministic-archive.test
  LLVM :: tools/llvm-objcopy/ELF/discard-locals-rel.test
  LLVM :: tools/llvm-objcopy/ELF/discard-locals.test
  LLVM :: tools/llvm-objcopy/ELF/discard-mix-local-and-all.test
  LLVM :: tools/llvm-objcopy/ELF/drawf-fission.test
  LLVM :: tools/llvm-objcopy/ELF/dump-section-before-add-remove.test
  LLVM :: tools/llvm-objcopy/ELF/dump-section.test
  LLVM :: tools/llvm-objcopy/ELF/dynamic-relocations.test
  LLVM :: tools/llvm-objcopy/ELF/dynrelocsec-remove-shinfo-reference.test
  LLVM :: tools/llvm-objcopy/ELF/dynrelocsec-remove-shlink-reference.test
